Seed,Alpha,Inf_Prob,Imputer,Model,MIM,Score,Time
126,0.1,0.2,mean,mlp,Dynamic_MIM_wGA,0.6335432073917057,1.079369068145752
126,0.1,0.3,mean,linear,Dynamic_MIM,0.6839853226219178,1.1060168743133545
126,0.1,0.3,mean,linear,Dynamic_MIM_wGA,0.687232392842774,1.1173157691955566
126,0.1,0.3,mean,xgb,Dynamic_MIM,0.5870634338347194,45.771931648254395
126,0.1,0.3,mean,xgb,Dynamic_MIM_wGA,0.5993395889472565,48.86664271354675
126,0.1,0.3,mean,mlp,Dynamic_MIM,0.6353142417371295,1.8007416725158691
126,0.1,0.3,mean,mlp,Dynamic_MIM_wGA,0.614988988317753,1.1688356399536133
126,0.1,0.4,mean,linear,Dynamic_MIM,0.6839853226219178,1.0714128017425537
126,0.1,0.4,mean,linear,Dynamic_MIM_wGA,0.6760331373219116,0.913316011428833
126,0.1,0.4,mean,xgb,Dynamic_MIM,0.5870634338347194,46.010703802108765
126,0.1,0.4,mean,xgb,Dynamic_MIM_wGA,0.6415536174970822,47.2112078666687
126,0.1,0.4,mean,mlp,Dynamic_MIM,0.6353142417371295,1.6080787181854248
126,0.1,0.4,mean,mlp,Dynamic_MIM_wGA,0.6232651724876459,0.8314528465270996
126,0.1,0.5,mean,linear,Dynamic_MIM,0.6855250150219769,1.049389123916626
126,0.1,0.5,mean,linear,Dynamic_MIM_wGA,0.6790357890836528,0.8906030654907227
126,0.1,0.5,mean,xgb,Dynamic_MIM,0.5548939173911697,46.27366805076599
126,0.1,0.5,mean,xgb,Dynamic_MIM_wGA,0.610135946576676,45.14937710762024
126,0.1,0.5,mean,mlp,Dynamic_MIM,0.6026429078158393,1.5482370853424072
126,0.1,0.5,mean,mlp,Dynamic_MIM_wGA,0.6047991965092195,0.8494172096252441
126,0.1,0.6,mean,linear,Dynamic_MIM,0.6724937763586499,1.1159720420837402
126,0.1,0.6,mean,linear,Dynamic_MIM_wGA,0.6820208005314118,0.8409929275512695
